Sat Aug 27 12:32:57 EDT 2016, 96
Sun Aug 28 12:05:21 EDT 2016,96
Mon Aug 29 12:00:01 EDT 2016,96
Tue Aug 30 12:00:01 EDT 2016,96
Wed Aug 31 12:00:01 EDT 2016,96
Thu Sep  1 12:00:01 EDT 2016,96
Fri Sep  2 12:00:01 EDT 2016,96
Sat Sep  3 12:00:01 EDT 2016,96
Sun Sep  4 12:00:01 EDT 2016,96
Mon Sep  5 12:43:12 EDT 2016, 96
Tue Sep  6 12:00:01 EDT 2016, 96
Wed Sep  7 12:00:01 EDT 2016, 96
Thu Sep  8 12:00:01 EDT 2016, 92
Fri Sep  9 12:10:02 EDT 2016, 94
Sat Sep 10 12:04:51 EDT 2016, 94
Sun Sep 11 12:00:01 EDT 2016, 94
Mon Sep 12 12:00:56 EDT 2016, 91
Tue Sep 13 12:03:24 EDT 2016, 91
Wed Sep 14 12:00:01 EDT 2016, 92
Thu Sep 15 12:00:01 EDT 2016, 92
Fri Sep 16 12:00:01 EDT 2016, 92
Sat Sep 17 12:51:41 EDT 2016, 92
Sun Sep 18 13:16:08 EDT 2016, 92
Mon Sep 19 12:00:01 EDT 2016, 90
Tue Sep 20 12:00:01 EDT 2016, 90
Wed Sep 21 12:00:01 EDT 2016, 90
Thu Sep 22 12:00:01 EDT 2016, 90
Fri Sep 23 12:00:01 EDT 2016, 90
Sat Sep 24 12:00:01 EDT 2016, 91
Sun Sep 25 12:00:01 EDT 2016, 91
Tue Sep 27 12:03:30 EDT 2016, 91
Thu Sep 29 12:00:01 EDT 2016, 91
Sun Oct  2 12:00:01 EDT 2016, 91
Mon Oct  3 12:05:30 EDT 2016, 91
Tue Oct  4 12:00:01 EDT 2016, 91
Wed Oct  5 12:05:03 EDT 2016, 90
Thu Oct  6 12:00:01 EDT 2016, 90
Fri Oct  7 12:15:54 EDT 2016, 90
Sat Oct  8 12:00:01 EDT 2016, 90
Sun Oct  9 12:00:01 EDT 2016, 90
Mon Oct 10 12:00:01 EDT 2016, 90
Tue Oct 11 12:08:29 EDT 2016, 90
Wed Oct 12 12:05:57 EDT 2016, 90
Thu Oct 13 12:00:01 EDT 2016, 90
Mon Oct 24 12:00:01 EDT 2016, 96
Tue Oct 25 12:00:01 EDT 2016, 96
