Mon Aug 29 07:24:01 EDT 2016,1472469841,100
Mon Aug 29 07:25:22 EDT 2016,1472469922,100
Mon Aug 29 07:26:01 EDT 2016,1472469961,100
Mon Aug 29 07:28:01 EDT 2016,1472470081,100
Mon Aug 29 07:30:01 EDT 2016,1472470201,100
Mon Aug 29 07:32:01 EDT 2016,1472470321,100
Mon Aug 29 07:34:01 EDT 2016,1472470441,100
Mon Aug 29 07:36:01 EDT 2016,1472470561,100
Mon Aug 29 07:38:01 EDT 2016,1472470681,100
Mon Aug 29 07:40:01 EDT 2016,1472470801,100
Mon Aug 29 07:42:01 EDT 2016,1472470921,100
Mon Aug 29 07:44:01 EDT 2016,1472471041,100
Mon Aug 29 08:02:01 EDT 2016,1472472121,100
Mon Aug 29 08:04:02 EDT 2016,1472472242,100
Mon Aug 29 08:06:01 EDT 2016,1472472361,100
Mon Aug 29 08:08:01 EDT 2016,1472472481,100
Mon Aug 29 08:10:01 EDT 2016,1472472601,100
Mon Aug 29 08:12:01 EDT 2016,1472472721,100
Mon Aug 29 08:14:01 EDT 2016,1472472841,100
Mon Aug 29 08:16:01 EDT 2016,1472472961,100
Mon Aug 29 08:18:01 EDT 2016,1472473081,100
Mon Aug 29 08:20:01 EDT 2016,1472473201,100
Mon Aug 29 08:22:01 EDT 2016,1472473321,100
Mon Aug 29 08:24:01 EDT 2016,1472473441,100
Mon Aug 29 08:26:01 EDT 2016,1472473561,100
Mon Aug 29 08:28:01 EDT 2016,1472473681,100
Mon Aug 29 08:30:01 EDT 2016,1472473801,100
Mon Aug 29 08:32:01 EDT 2016,1472473921,100
Mon Aug 29 08:34:01 EDT 2016,1472474041,100
Mon Aug 29 08:36:01 EDT 2016,1472474161,100
Mon Aug 29 08:38:01 EDT 2016,1472474281,100
Mon Aug 29 08:40:01 EDT 2016,1472474401,100
Mon Aug 29 08:42:01 EDT 2016,1472474521,100
Mon Aug 29 08:44:01 EDT 2016,1472474641,100
Mon Aug 29 08:52:19 EDT 2016,1472475139,99
Mon Aug 29 08:54:01 EDT 2016,1472475241,99
Mon Aug 29 08:56:01 EDT 2016,1472475361,99
Mon Aug 29 08:58:01 EDT 2016,1472475481,98
Mon Aug 29 09:00:01 EDT 2016,1472475601,98
Mon Aug 29 09:02:01 EDT 2016,1472475721,97
Mon Aug 29 09:04:01 EDT 2016,1472475841,96
Mon Aug 29 09:06:01 EDT 2016,1472475961,96
Mon Aug 29 09:08:01 EDT 2016,1472476081,95
Mon Aug 29 09:10:01 EDT 2016,1472476201,95
Mon Aug 29 09:12:01 EDT 2016,1472476321,94
Mon Aug 29 09:14:01 EDT 2016,1472476441,93
Mon Aug 29 09:16:01 EDT 2016,1472476561,93
Mon Aug 29 09:18:01 EDT 2016,1472476681,92
Mon Aug 29 09:20:01 EDT 2016,1472476801,91
Mon Aug 29 09:22:01 EDT 2016,1472476921,91
Mon Aug 29 09:24:01 EDT 2016,1472477041,90
Mon Aug 29 09:26:01 EDT 2016,1472477161,90
Mon Aug 29 09:28:01 EDT 2016,1472477281,89
Mon Aug 29 09:30:01 EDT 2016,1472477401,88
Mon Aug 29 09:32:01 EDT 2016,1472477521,88
Mon Aug 29 09:34:01 EDT 2016,1472477641,87
Mon Aug 29 09:36:01 EDT 2016,1472477761,86
Mon Aug 29 09:38:01 EDT 2016,1472477881,86
Mon Aug 29 09:40:01 EDT 2016,1472478001,85
Mon Aug 29 09:42:01 EDT 2016,1472478121,84
Mon Aug 29 09:44:01 EDT 2016,1472478241,84
Mon Aug 29 09:46:01 EDT 2016,1472478361,83
